Шаг №  1 	 В момент времени:  11 	 0  ->  1 	За время 0.01 	 Вероятности [1. 0.] 
Шаг №  1013 	 В момент времени:  969010 	 1  ->  2 	За время 0.336 	 Вероятности [0.8 0.2] 
Шаг №  1014 	 В момент времени:  969703 	 2  ->  2 	За время 0.693 	 Вероятности [0.5 0.5] 
Шаг №  1015 	 В момент времени:  970098 	 2  ->  1 	За время 0.396 	 Вероятности [0.5 0.5] 
Шаг №  1016 	 В момент времени:  970709 	 1  ->  2 	За время 0.611 	 Вероятности [0.8 0.2] 
Шаг №  1017 	 В момент времени:  971056 	 2  ->  1 	За время 0.348 	 Вероятности [0.5 0.5] 
Шаг №  1018 	 В момент времени:  971094 	 1  ->  2 	За время 0.039 	 Вероятности [0.8 0.2] 
Шаг №  1019 	 В момент времени:  971886 	 2  ->  2 	За время 0.792 	 Вероятности [0.5 0.5] 
Шаг №  1020 	 В момент времени:  972913 	 2  ->  1 	За время 1.028 	 Вероятности [0.5 0.5] 
Шаг №  1021 	 В момент времени:  973411 	 1  ->  2 	За время 0.499 	 Вероятности [0.8 0.2] 
Шаг №  1022 	 В момент времени:  973615 	 2  ->  1 	За время 0.205 	 Вероятности [0.5 0.5] 
Шаг №  1023 	 В момент времени:  975009 	 1  ->  1 	За время 1.394 	 Вероятности [0.8 0.2] 
Шаг №  1024 	 В момент времени:  976154 	 1  ->  1 	За время 1.146 	 Вероятности [0.8 0.2] 
Шаг №  1025 	 В момент времени:  978163 	 1  ->  2 	За время 2.01 	 Вероятности [0.8 0.2] 
Шаг №  1026 	 В момент времени:  978538 	 2  ->  2 	За время 0.375 	 Вероятности [0.5 0.5] 
Шаг №  1027 	 В момент времени:  979696 	 2  ->  2 	За время 1.158 	 Вероятности [0.5 0.5] 
Шаг №  1028 	 В момент времени:  979717 	 2  ->  2 	За время 0.021 	 Вероятности [0.5 0.5] 
Шаг №  1029 	 В момент времени:  980262 	 2  ->  1 	За время 0.545 	 Вероятности [0.5 0.5] 
Шаг №  1030 	 В момент времени:  980298 	 1  ->  2 	За время 0.036 	 Вероятности [0.8 0.2] 
Шаг №  1031 	 В момент времени:  981299 	 2  ->  2 	За время 1.002 	 Вероятности [0.5 0.5] 
Шаг №  1032 	 В момент времени:  981521 	 2  ->  1 	За время 0.223 	 Вероятности [0.5 0.5] 
Шаг №  1033 	 В момент времени:  982185 	 1  ->  1 	За время 0.664 	 Вероятности [0.8 0.2] 
Шаг №  1034 	 В момент времени:  982229 	 1  ->  1 	За время 0.044 	 Вероятности [0.8 0.2] 
Шаг №  1035 	 В момент времени:  983950 	 1  ->  1 	За время 1.721 	 Вероятности [0.8 0.2] 
Шаг №  1036 	 В момент времени:  984355 	 1  ->  1 	За время 0.406 	 Вероятности [0.8 0.2] 
Шаг №  1037 	 В момент времени:  985810 	 1  ->  1 	За время 1.456 	 Вероятности [0.8 0.2] 
Шаг №  1038 	 В момент времени:  986459 	 1  ->  1 	За время 0.65 	 Вероятности [0.8 0.2] 
Шаг №  1039 	 В момент времени:  987074 	 1  ->  1 	За время 0.615 	 Вероятности [0.8 0.2] 
Шаг №  1040 	 В момент времени:  988710 	 1  ->  1 	За время 1.636 	 Вероятности [0.8 0.2] 
Шаг №  1041 	 В момент времени:  988736 	 1  ->  1 	За время 0.027 	 Вероятности [0.8 0.2] 
Шаг №  1042 	 В момент времени:  989529 	 1  ->  1 	За время 0.794 	 Вероятности [0.8 0.2] 
Шаг №  1043 	 В момент времени:  989934 	 1  ->  1 	За время 0.406 	 Вероятности [0.8 0.2] 
Шаг №  1044 	 В момент времени:  989938 	 1  ->  1 	За время 0.005 	 Вероятности [0.8 0.2] 
Шаг №  1045 	 В момент времени:  990807 	 1  ->  1 	За время 0.869 	 Вероятности [0.8 0.2] 
Шаг №  1046 	 В момент времени:  991526 	 1  ->  1 	За время 0.72 	 Вероятности [0.8 0.2] 
Шаг №  1047 	 В момент времени:  994527 	 1  ->  2 	За время 3.001 	 Вероятности [0.8 0.2] 
Шаг №  1048 	 В момент времени:  996029 	 2  ->  1 	За время 1.503 	 Вероятности [0.5 0.5] 
Шаг №  1049 	 В момент времени:  997291 	 1  ->  2 	За время 1.262 	 Вероятности [0.8 0.2] 
Шаг №  1050 	 В момент времени:  997414 	 2  ->  1 	За время 0.124 	 Вероятности [0.5 0.5] 
Шаг №  1051 	 В момент времени:  998193 	 1  ->  1 	За время 0.78 	 Вероятности [0.8 0.2] 
Шаг №  1052 	 В момент времени:  998992 	 1  ->  2 	За время 0.8 	 Вероятности [0.8 0.2] 
Шаг №  1053 	 В момент времени:  999119 	 2  ->  2 	За время 0.127 	 Вероятности [0.5 0.5] 
